DateTime,Junction,ID,Vehicles
7/1/2017 0:00,1,20170701001,47
7/1/2017 1:00,1,20170701011,53
7/1/2017 2:00,1,20170701021,44
7/1/2017 3:00,1,20170701031,36
7/1/2017 4:00,1,20170701041,31
7/1/2017 5:00,1,20170701051,31
7/1/2017 6:00,1,20170701061,34
7/1/2017 7:00,1,20170701071,32
7/1/2017 8:00,1,20170701081,44
7/1/2017 9:00,1,20170701091,44
7/1/2017 10:00,1,20170701101,58
7/1/2017 11:00,1,20170701111,61
7/1/2017 12:00,1,20170701121,61
7/1/2017 13:00,1,20170701131,55
7/1/2017 14:00,1,20170701141,58
7/1/2017 15:00,1,20170701151,56
7/1/2017 16:00,1,20170701161,56
7/1/2017 17:00,1,20170701171,51
7/1/2017 18:00,1,20170701181,57
7/1/2017 19:00,1,20170701191,68
7/1/2017 20:00,1,20170701201,74
7/1/2017 21:00,1,20170701211,68
7/1/2017 22:00,1,20170701221,68
7/1/2017 23:00,1,20170701231,64
7/2/2017 0:00,1,20170702001,79
7/2/2017 1:00,1,20170702011,46
7/2/2017 2:00,1,20170702021,55
7/2/2017 3:00,1,20170702031,47
7/2/2017 4:00,1,20170702041,43
7/2/2017 5:00,1,20170702051,43
7/2/2017 6:00,1,20170702061,42
7/2/2017 7:00,1,20170702071,48
7/2/2017 8:00,1,20170702081,62
7/2/2017 9:00,1,20170702091,67
7/2/2017 10:00,1,20170702101,83
7/2/2017 11:00,1,20170702111,97
7/2/2017 12:00,1,20170702121,97
7/2/2017 13:00,1,20170702131,88
7/2/2017 14:00,1,20170702141,88
7/2/2017 15:00,1,20170702151,90
7/2/2017 16:00,1,20170702161,90
7/2/2017 17:00,1,20170702171,84
7/2/2017 18:00,1,20170702181,84
7/2/2017 19:00,1,20170702191,98
7/2/2017 20:00,1,20170702201,98
7/2/2017 21:00,1,20170702211,86
7/2/2017 22:00,1,20170702221,86
7/2/2017 23:00,1,20170702231,81
7/3/2017 0:00,1,20170703001,79
7/3/2017 1:00,1,20170703011,46
7/3/2017 2:00,1,20170703021,55
7/3/2017 3:00,1,20170703031,49
7/3/2017 4:00,1,20170703041,42
7/3/2017 5:00,1,20170703051,34
7/3/2017 6:00,1,20170703061,42
7/3/2017 7:00,1,20170703071,48
7/3/2017 8:00,1,20170703081,62
7/3/2017 9:00,1,20170703091,67
7/3/2017 10:00,1,20170703101,83
7/3/2017 11:00,1,20170703111,97
7/3/2017 12:00,1,20170703121,97
7/3/2017 13:00,1,20170703131,88
7/3/2017 14:00,1,20170703141,88
7/3/2017 15:00,1,20170703151,90
7/3/2017 16:00,1,20170703161,90
7/3/2017 17:00,1,20170703171,84
7/3/2017 18:00,1,20170703181,84
7/3/2017 19:00,1,20170703191,98
7/3/2017 20:00,1,20170703201,98
7/3/2017 21:00,1,20170703211,86
7/3/2017 22:00,1,20170703221,86
7/3/2017 23:00,1,20170703231,81
7/4/2017 0:00,1,20170704001,79
7/4/2017 1:00,1,20170704011,46
7/4/2017 2:00,1,20170704021,56
7/4/2017 3:00,1,20170704031,49
7/4/2017 4:00,1,20170704041,42
7/4/2017 5:00,1,20170704051,34
7/4/2017 6:00,1,20170704061,42
7/4/2017 7:00,1,20170704071,48
7/4/2017 8:00,1,20170704081,56
7/4/2017 9:00,1,20170704091,65
7/4/2017 10:00,1,20170704101,84
7/4/2017 11:00,1,20170704111,101
7/4/2017 12:00,1,20170704121,106
7/4/2017 13:00,1,20170704131,101
7/4/2017 14:00,1,20170704141,101
7/4/2017 15:00,1,20170704151,103
7/4/2017 16:00,1,20170704161,93
7/4/2017 17:00,1,20170704171,89
7/4/2017 18:00,1,20170704181,96
7/4/2017 19:00,1,20170704191,100
7/4/2017 20:00,1,20170704201,93
7/4/2017 21:00,1,20170704211,89
7/4/2017 22:00,1,20170704221,89
7/4/2017 23:00,1,20170704231,83
7/5/2017 0:00,1,20170705001,75
7/5/2017 1:00,1,20170705011,46
7/5/2017 2:00,1,20170705021,56
7/5/2017 3:00,1,20170705031,41
7/5/2017 4:00,1,20170705041,35
7/5/2017 5:00,1,20170705051,34
7/5/2017 6:00,1,20170705061,42
7/5/2017 7:00,1,20170705071,48
7/5/2017 8:00,1,20170705081,56
7/5/2017 9:00,1,20170705091,65
7/5/2017 10:00,1,20170705101,84
7/5/2017 11:00,1,20170705111,101
7/5/2017 12:00,1,20170705121,106
7/5/2017 13:00,1,20170705131,101
7/5/2017 14:00,1,20170705141,101
7/5/2017 15:00,1,20170705151,103
7/5/2017 16:00,1,20170705161,93
7/5/2017 17:00,1,20170705171,89
7/5/2017 18:00,1,20170705181,96
7/5/2017 19:00,1,20170705191,100
7/5/2017 20:00,1,20170705201,93
7/5/2017 21:00,1,20170705211,89
7/5/2017 22:00,1,20170705221,89
7/5/2017 23:00,1,20170705231,83
7/6/2017 0:00,1,20170706001,75
7/6/2017 1:00,1,20170706011,71
7/6/2017 2:00,1,20170706021,61
7/6/2017 3:00,1,20170706031,41
7/6/2017 4:00,1,20170706041,35
7/6/2017 5:00,1,20170706051,36
7/6/2017 6:00,1,20170706061,42
7/6/2017 7:00,1,20170706071,51
7/6/2017 8:00,1,20170706081,61
7/6/2017 9:00,1,20170706091,65
7/6/2017 10:00,1,20170706101,96
7/6/2017 11:00,1,20170706111,112
7/6/2017 12:00,1,20170706121,109
7/6/2017 13:00,1,20170706131,102
7/6/2017 14:00,1,20170706141,113
7/6/2017 15:00,1,20170706151,115
7/6/2017 16:00,1,20170706161,127
7/6/2017 17:00,1,20170706171,134
7/6/2017 18:00,1,20170706181,140
7/6/2017 19:00,1,20170706191,140
7/6/2017 20:00,1,20170706201,126
7/6/2017 21:00,1,20170706211,104
7/6/2017 22:00,1,20170706221,104
7/6/2017 23:00,1,20170706231,88
7/7/2017 0:00,1,20170707001,64
7/7/2017 1:00,1,20170707011,52
7/7/2017 2:00,1,20170707021,36
7/7/2017 3:00,1,20170707031,30
7/7/2017 4:00,1,20170707041,28
7/7/2017 5:00,1,20170707051,29
7/7/2017 6:00,1,20170707061,29
7/7/2017 7:00,1,20170707071,28
7/7/2017 8:00,1,20170707081,42
7/7/2017 9:00,1,20170707091,45
7/7/2017 10:00,1,20170707101,53
7/7/2017 11:00,1,20170707111,56
7/7/2017 12:00,1,20170707121,60
7/7/2017 13:00,1,20170707131,53
7/7/2017 14:00,1,20170707141,57
7/7/2017 15:00,1,20170707151,49
7/7/2017 16:00,1,20170707161,49
7/7/2017 17:00,1,20170707171,51
7/7/2017 18:00,1,20170707181,57
7/7/2017 19:00,1,20170707191,62
7/7/2017 20:00,1,20170707201,62
7/7/2017 21:00,1,20170707211,59
7/7/2017 22:00,1,20170707221,55
7/7/2017 23:00,1,20170707231,59
7/8/2017 0:00,1,20170708001,84
7/8/2017 1:00,1,20170708011,65
7/8/2017 2:00,1,20170708021,55
7/8/2017 3:00,1,20170708031,50
7/8/2017 4:00,1,20170708041,40
7/8/2017 5:00,1,20170708051,38
7/8/2017 6:00,1,20170708061,49
7/8/2017 7:00,1,20170708071,48
7/8/2017 8:00,1,20170708081,54
7/8/2017 9:00,1,20170708091,71
7/8/2017 10:00,1,20170708101,104
